|acctbal |name              |name          |partkey|mfgr          |address                                 |phone          |comment                                                                                             |
|--------|------------------|--------------|-------|--------------|----------------------------------------|---------------|----------------------------------------------------------------------------------------------------|
|9 938,53|Supplier#000005359|UNITED KINGDOM|185 358|Manufacturer#4|QKuHYh,vZGiwu2FWEJoLDx04                |33-429-790-6131|uriously regular requests hag                                                                       |
|9 937,84|Supplier#000005969|ROMANIA       |108 438|Manufacturer#1|ANDENSOSmk,miq23Xfb5RWt6dvUcvt6Qa       |29-520-692-3537|efully express instructions. regular requests against the slyly fin                                 |
|9 936,22|Supplier#000005250|UNITED KINGDOM|249    |Manufacturer#4|B3rqp0xbSEim4Mpy2RH J                   |33-320-228-2957|etect about the furiously final accounts. slyly ironic pinto beans sleep inside the furiously       |
|9 923,77|Supplier#000002324|GERMANY       |29 821 |Manufacturer#4|y3OD9UywSTOk                            |17-779-299-1839|ackages boost blithely. blithely regular deposits c                                                 |
|9 871,22|Supplier#000006373|GERMANY       |43 868 |Manufacturer#5|J8fcXWsTqM                              |17-813-485-8637|etect blithely bold asymptotes. fluffily ironic platelets wake furiously; blit                      |
|9 870,78|Supplier#000001286|GERMANY       |81 285 |Manufacturer#2|YKA,E2fjiVd7eUrzp2Ef8j1QxGo2DFnosaTEH   |17-516-924-4574| regular accounts. furiously unusual courts above the fi                                            |
|9 870,78|Supplier#000001286|GERMANY       |181 285|Manufacturer#4|YKA,E2fjiVd7eUrzp2Ef8j1QxGo2DFnosaTEH   |17-516-924-4574| regular accounts. furiously unusual courts above the fi                                            |
|9 852,52|Supplier#000008973|RUSSIA        |18 972 |Manufacturer#2|t5L67YdBYYH6o,Vz24jpDyQ9                |32-188-594-7038|rns wake final foxes. carefully unusual depende                                                     |
|9 847,83|Supplier#000008097|RUSSIA        |130 557|Manufacturer#2|xMe97bpE69NzdwLoX                       |32-375-640-3593| the special excuses. silent sentiments serve carefully final ac                                    |
|9 847,57|Supplier#000006345|FRANCE        |86 344 |Manufacturer#1|VSt3rzk3qG698u6ld8HhOByvrTcSTSvQlDQDag  |16-886-766-7945|ges. slyly regular requests are. ruthless, express excuses cajole blithely across the unu           |
|9 847,57|Supplier#000006345|FRANCE        |173 827|Manufacturer#2|VSt3rzk3qG698u6ld8HhOByvrTcSTSvQlDQDag  |16-886-766-7945|ges. slyly regular requests are. ruthless, express excuses cajole blithely across the unu           |
|9 836,93|Supplier#000007342|RUSSIA        |4 841  |Manufacturer#4|JOlK7C1,7xrEZSSOw                       |32-399-414-5385|blithely carefully bold theodolites. fur                                                            |
